id,group_id,session_number,order_in_session,motives
94,3,3,16,Pin
94,4,3,18,Pin
95,1,1,14,Pin
95,1,2,14,Pin
95,1,3,14,Pin
95,1,4,14,Pin
95,1,5,14,Pin
95,2,2,2,Pin
95,2,1,4,Pin
95,2,4,10,Pin
95,2,3,17,Pin
95,2,5,19,Pin
95,3,1,14,Pin
95,4,1,4,Pin
96,3,2,17,Pin
96,4,2,11,Pin
97,3,5,19,Pin
97,4,5,10,Pin
98,1,1,19,Pin
98,1,2,19,Pin
98,1,3,19,Pin
98,1,4,19,Pin
98,1,5,19,Pin
98,2,4,4,Pin
98,2,5,5,Pin
98,2,1,10,Pin
98,2,2,10,Pin
98,2,3,20,Pin
98,3,1,19,Pin
98,4,1,10,Pin
99,3,3,15,Pin
99,4,3,11,Pin
100,3,4,15,Pin
100,4,4,13,Pin
101,3,2,15,Pin
101,4,2,18,Pin
102,3,4,17,Pin
102,4,4,1,Pin
103,3,5,20,Pin
103,4,5,19,Pin
104,3,4,10,Undermining
104,4,4,18,Undermining
105,3,5,13,Undermining
105,4,5,12,Undermining
