id,initial_fen,moves,starting_color,motives,created_at,session,order_in_session,group
30,6qk/2p2b2/r1p4p/6p1/3P4/7P/P5PB/3Q2RK w - - 0 1,"['h2e5', 'h8h7', 'd1d3', 'f7g6', 'd3a6']",white,Fork,2025-02-27 22:11:59.839500,4,0,4
103,rn1qkbnr/pp2pp1p/3p2p1/2pP1b2/2P1N3/8/PPQ2PPP/R1B1R1K1 w kq - 0 1,['e4f6'],white,Pin,2025-03-01 01:17:28.094615,4,1,4
19,8/r3pk2/3p2R1/3r1P2/8/1P6/8/5R1K b - - 0 1,"['d5f5', 'f1f5', 'f7g6']",black,Undermining,2025-01-26 19:07:30.127981,4,2,4
15,r4rk1/p1p2pqp/1pn1p1p1/8/3P4/P1P3N1/1PNQ1PPP/3B1RK1 w - - 0 1,['d1f3'],white,Pin,2025-01-26 18:52:04.819761,4,3,4
58,r1bqk2r/pppp1ppp/1bnP3n/3QP3/2B5/8/PP3PPP/RNB1K2R w kq - 0 1,"['c1h6', 'g7h6', 'd5f7']",white,Undermining,2025-02-28 13:12:25.851808,4,4,4
13,R5nk/7p/2p2pp1/1p1q4/1P5Q/6PP/1P3P1K/3r4 w - - 0 1,['h4f6'],white,Pin,2025-01-26 18:36:58.291496,4,5,4
7,5rk1/1N4pp/p4p2/P1Qp4/2q5/6P1/6BP/7K w - - 0 1,['g2d5'],white,Fork,2025-01-26 18:06:32.063727,4,6,4
84,8/pp1r2kp/2p1p1p1/P7/3qP3/2Q3P1/1P3PKP/4R3 w - - 0 1,"['e1d1', 'd4c3', 'd1d7', 'g7f6', 'b2c3']",white,Pin,2025-03-01 00:56:23.187433,4,7,4
9,5r2/4bpk1/p3p3/4N1p1/2ppN1Q1/2P3P1/PP3P1q/2K2R2 b - - 0 1,"['f7f5', 'g4e2', 'f5e4']",black,Fork,2025-01-26 18:16:23.383560,4,8,4
67,7r/5pk1/4p1p1/8/4P3/5PP1/3q1QKP/4R3 b - - 0 1,"['h8h2', 'g2h2', 'd2f2']",black,Undermining,2025-02-28 13:25:07.143763,4,9,4
38,r1bqk2r/pppp1ppp/8/3Ppn2/1b6/4P1P1/PP1P1PBP/R1BQK1NR w KQkq - 0 1,"['d1g4', 'f5d6', 'g4b4']",white,Fork,2025-02-27 22:28:38.591121,4,10,4
21,2Q2n2/2R4p/1p1qpp1k/8/3P3P/3B2P1/5PK1/r7 w - - 0 1,"['c8f8', 'd6f8', 'c7h7']",white,Undermining,2025-01-26 19:17:24.309883,4,11,4
47,r4rk1/1ppq1p1p/p2p2p1/6B1/2nP4/5QP1/PPP2P1P/2KR3R b - - 0 1,"['d7b5', 'f3c3', 'b5g5']",black,Fork,2025-02-28 01:38:40.099158,4,12,4
101,8/6k1/2K2p1p/6p1/4B1P1/2B2P2/8/5r2 b - - 0 1,['f1c1'],black,Pin,2025-03-01 01:15:35.446219,4,13,4
49,r1bq1rk1/2pnppbp/p1n3p1/1p2P1N1/3P4/1QN1B3/PP3PPP/R3KB1R w KQ - 0 1,"['g5f7', 'f8f7', 'e5e6', 'd7b6', 'e6f7']",white,Fork,2025-02-28 01:42:07.208280,4,14,4
93,4k3/5pp1/1p6/1npp2pq/8/2P1PNPP/PPQ3K1/8 w - - 0 1,['c2a4'],white,Pin,2025-03-01 01:07:00.635855,4,15,4
66,2q1r1k1/p1r2ppp/3p4/5b2/3P4/2R1N2P/1P3PP1/3Q1RK1 w - - 0 1,"['c3c7', 'c8c7', 'e3f5']",white,Undermining,2025-02-28 13:22:55.483264,4,16,4
39,3R4/pp3pkp/2p1rpq1/5b2/1P6/2Q3N1/P1P3PP/6K1 w - - 0 1,"['c3c5', 'f5c2', 'c5f8']",white,Fork,2025-02-28 01:22:38.512819,4,17,4
105,3qnrk1/1p3ppp/8/p4N2/8/P5QP/1P3PP1/4R1K1 w - - 0 1,"['e1e8', 'd8e8', 'g3g7']",white,Undermining,2025-03-05 16:34:07.986649,4,18,4
92,7k/3n1p1p/6p1/5p2/3r4/6PP/6PK/7Q w - - 0 1,['h1a1'],white,Pin,2025-03-01 01:05:53.499324,4,19,4
75,4r3/pp3pkp/2p2np1/5b2/2P1r3/1P4PP/P2N1PB1/R3RK2 b - - 0 1,"['e4e1', 'a1e1', 'f5d3', 'f1g1', 'e8e1']",black,Undermining,2025-02-28 15:02:20.180517,4,20,4
20,r4rk1/ppp2ppp/2nqn3/8/2P5/1PQ2N2/PB3PPP/R3R1K1 w - - 0 1,"['e1e6', 'd6e6', 'c3g7']",white,Undermining,2025-01-26 19:14:22.195006,5,0,4
80,3nbr2/5q1p/r3pRpk/3pQR2/1ppP2p1/2P5/PPB4P/6K1 w - - 0 1,"['f5h5', 'h6g7', 'f6g6']",white,Pin,2025-02-28 17:02:33.294290,5,1,4
8,8/1p3p2/p1p1qbp1/5n1k/2N5/1P5P/P2Q1PP1/3R2K1 w - - 0 1,"['g2g4', 'h5h4', 'g4f5']",white,Fork,2025-01-26 18:10:41.436684,5,2,4
88,R7/2p3pk/P1N3bp/8/8/r6P/6PK/8 b - - 0 1,"['g6e4', 'a8d8', 'e4c6']",black,Pin,2025-03-01 01:01:42.025058,5,3,4
23,rn1qk2r/pp2bppp/2p1pn2/8/N1BP2b1/4PN2/PP3PPP/R1BQ1RK1 b kq - 0 1,"['b7b5', 'c4e2', 'b5a4']",black,Fork,2025-02-27 17:08:57.651360,5,4,4
14,5rk1/p3q1pp/8/3PbpNP/PR3B2/5PK1/1R6/8 b - - 0 1,['e7g5'],black,Pin,2025-01-26 18:39:38.068157,5,5,4
51,3r2k1/p5pp/1p3q2/8/2P5/1PN3Q1/P4PPP/6K1 b - - 0 1,"['f6c3', 'g3c3', 'd8d1', 'c3e1', 'd1e1']",black,Undermining,2025-02-28 13:06:12.634059,5,6,4
26,6k1/8/4p2r/4P3/2B5/4R2b/5K2/8 w - - 0 1,"['e3h3', 'h6h3', 'c4e6', 'g8g7', 'e6h3']",white,Fork,2025-02-27 17:13:22.014797,5,7,4
60,r4rk1/5ppp/pq2p3/2b5/3N4/1Q2PPP1/6KP/R2R4 b - - 0 1,"['c5d4', 'b3b6', 'd4b6']",black,Undermining,2025-02-28 13:14:06.932382,5,8,4
34,6k1/1p3pp1/2b4p/8/3r3P/6P1/N4P1K/1R6 b - - 0 1,"['d4d2', 'a2c3', 'd2f2']",black,Fork,2025-02-27 22:23:38.857941,5,9,4
